epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.564,2.98078,4.98586,2.17732,0.00355,0.17746,0.00211,0.0006,2.81317,4.69767,1.8277,0.000652174,0.000652174,0.000652174
2,456.201,2.67917,4.04835,1.89091,0.10916,0.04289,0.01685,0.0057,2.6802,4.10074,2.04427,0.00118828,0.00118828,0.00118828
3,968.105,2.69403,3.69784,1.92187,0.02325,0.03364,0.0046,0.00147,2.92954,5.21674,2.0695,0.00159238,0.00159238,0.00159238
4,1603.04,2.56864,3.40303,1.89374,0.10889,0.05887,0.02373,0.00835,2.62258,3.91,1.9007,0.001406,0.001406,0.001406
5,2198.06,2.56355,3.16958,1.84791,0.12872,0.08074,0.03159,0.00925,2.59232,4.2918,1.88072,0.001208,0.001208,0.001208
6,2678.18,2.53182,2.99002,1.8155,0.18088,0.10345,0.05658,0.01651,2.5534,3.20462,1.89579,0.00101,0.00101,0.00101
7,2890.52,2.45075,2.83228,1.81605,0.13451,0.09504,0.04892,0.01706,2.51535,2.7385,1.87068,0.000812,0.000812,0.000812
8,3092.46,2.42258,2.72375,1.74674,0.21755,0.10008,0.06672,0.0221,2.54102,2.71374,1.80483,0.000614,0.000614,0.000614
9,3296.59,2.4206,2.68403,1.7241,0.26592,0.12868,0.09305,0.02975,2.40115,2.49232,1.73685,0.000416,0.000416,0.000416
10,3512.25,2.34648,2.55301,1.72082,0.28323,0.11943,0.09712,0.03291,2.366,2.45699,1.70926,0.000218,0.000218,0.000218
