epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.64,3.01132,4.27101,2.02052,0.00379,0.18923,0.00339,0.00092,2.82977,4.35813,1.78559,0.000652174,0.000652174,0.000652174
2,569.51,2.65123,3.37846,1.80199,0.07168,0.04205,0.01456,0.00515,2.6623,4.24623,1.90879,0.00130578,0.00130578,0.00130578
3,828.064,2.60745,3.20971,1.77624,0.09787,0.08495,0.02388,0.00603,2.71974,6.20743,1.97897,0.00194619,0.00194619,0.00194619
4,1118.42,2.6255,3.09703,1.77521,0.05047,0.04542,0.01216,0.00338,2.88593,3.83114,1.96418,0.0019406,0.0019406,0.0019406
5,1371.85,2.57419,2.94525,1.77564,0.10398,0.09588,0.03704,0.01104,2.70126,4.50465,1.98849,0.0019208,0.0019208,0.0019208
6,1613.2,2.54217,2.82994,1.74627,0.1452,0.0799,0.0373,0.01263,2.60456,3.10271,1.77734,0.001901,0.001901,0.001901
7,1846.7,2.5153,2.85243,1.7443,0.13141,0.0656,0.03362,0.00874,2.63463,3.32087,1.94547,0.0018812,0.0018812,0.0018812
8,2093.83,2.51318,2.7733,1.76149,0.17592,0.07822,0.03946,0.01165,2.60246,3.53502,1.92182,0.0018614,0.0018614,0.0018614
9,2332.61,2.46792,2.72047,1.73962,0.10978,0.08733,0.02926,0.01101,2.6535,3.6615,1.94404,0.0018416,0.0018416,0.0018416
10,2566.51,2.43103,2.63269,1.736,0.17868,0.1127,0.06949,0.02168,2.46608,3.07213,1.78127,0.0018218,0.0018218,0.0018218
11,2964.7,2.4431,2.63145,1.70686,0.22372,0.09924,0.05924,0.01691,2.63118,2.81106,1.98977,0.001802,0.001802,0.001802
12,3242.99,2.43545,2.57085,1.69818,0.2176,0.12027,0.07572,0.02241,2.48513,2.60566,1.74719,0.0017822,0.0017822,0.0017822
13,3541.04,2.40058,2.51386,1.73319,0.2429,0.1127,0.07832,0.02612,2.46111,2.63345,1.81611,0.0017624,0.0017624,0.0017624
14,3766.89,2.41756,2.51447,1.65788,0.1798,0.12784,0.06402,0.01822,2.56961,2.90938,1.79805,0.0017426,0.0017426,0.0017426
15,4023.17,2.37509,2.66982,1.6371,0.20871,0.13373,0.08126,0.02722,2.41554,2.51989,1.72235,0.0017228,0.0017228,0.0017228
16,4263.95,2.39228,2.3766,1.63203,0.24844,0.14045,0.09914,0.03131,2.43917,2.49557,1.81425,0.001703,0.001703,0.001703
